universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
realistic,momentum,momentum,12H,4H,spearman,validation,83,-0.018452758402029167,0.2329447217672683,0.4704883821956479,False
realistic,momentum,momentum,12H,12H,spearman,validation,83,0.04781834103330616,0.23719181465426364,0.06625692670476716,False
realistic,momentum,momentum,12H,12H,pearson,validation,83,0.04341884815067165,0.2493960098342497,0.11271888141665791,False
realistic,momentum,momentum,12H,1D,spearman,validation,83,0.045248663828245314,0.22679028738115817,0.06911118387507016,False
realistic,momentum,momentum,12H,3D,spearman,validation,83,0.02038832019808558,0.2461799016836878,0.4505400212611993,False
realistic,momentum,momentum,12H,7D,spearman,validation,83,0.016562490563758792,0.21646531934832053,0.4857590164530694,False
realistic,momentum,momentum,12H,14D,spearman,validation,83,0.014110577648941627,0.2255100448992056,0.5686393369887159,False
realistic,momentum,momentum,12H,30D,spearman,validation,83,0.02292780143128906,0.2231320035918695,0.3492024528115091,False
realistic,momentum,momentum,1D,1H,spearman,design,113,-0.02719960364210891,0.2508626358008088,0.24908855210898972,False
realistic,momentum,momentum,1D,4H,spearman,design,113,-0.007863457446322731,0.2690657837070814,0.7560542406212951,False
realistic,momentum,momentum,1D,12H,spearman,design,113,0.030885092742266914,0.24402148334636647,0.17848745094579288,False
realistic,momentum,momentum,1D,1D,spearman,design,113,0.02267596372503356,0.25285149971073434,0.34042714151460607,False
realistic,momentum,momentum,1D,1D,pearson,design,113,0.01887549146307571,0.25239624019790785,0.4266268336297899,False
realistic,momentum,momentum,1D,3D,spearman,design,113,0.012183438815675306,0.2323439996841344,0.5772447997167982,False
realistic,momentum,momentum,1D,7D,spearman,design,113,0.0017087226134049338,0.2387499787732645,0.9393558777394035,False
realistic,momentum,momentum,1D,14D,spearman,design,113,-0.014256554974108883,0.23656030622539648,0.5217586279444174,False
realistic,momentum,momentum,1D,30D,spearman,design,113,-0.025607550891805244,0.24780026033074184,0.27198020515391474,False
realistic,momentum,momentum,1D,1H,spearman,validation,83,-0.021466316393393123,0.2383819201037812,0.41199069155340906,False
realistic,momentum,momentum,1D,4H,spearman,validation,83,-0.04648971827158257,0.24672542523704902,0.08604292664494625,False
realistic,momentum,momentum,1D,12H,spearman,validation,83,0.0004861551469034058,0.24392335242566746,0.9855130570010829,False
realistic,momentum,momentum,1D,1D,spearman,validation,83,0.018072289156626516,0.21958540667855997,0.4533717341335637,False
realistic,momentum,momentum,1D,1D,pearson,validation,83,0.020619793607197467,0.2167513136357371,0.38611425260226284,False
realistic,momentum,momentum,1D,3D,spearman,validation,83,0.006869583597548084,0.2261646374918478,0.7819930539446039,False
realistic,momentum,momentum,1D,7D,spearman,validation,83,-0.006929975541262794,0.22632538986492978,0.780277722284006,False
realistic,momentum,momentum,1D,14D,spearman,validation,83,-0.04305039707702992,0.22593490666099952,0.08257574242113971,False
realistic,momentum,momentum,1D,30D,spearman,validation,83,0.015366730078207564,0.21943911337658537,0.5234872683995822,False
realistic,momentum,momentum,3D,1H,spearman,design,113,0.029861777034987266,0.2775945037808188,0.25282249093524856,False
realistic,momentum,momentum,3D,4H,spearman,design,113,0.021660182470752628,0.2663735786627291,0.387373188928249,False
realistic,momentum,momentum,3D,12H,spearman,design,113,0.005219321077289795,0.2422727609562363,0.8188635206294843,False
realistic,momentum,momentum,3D,1D,spearman,design,113,-0.0023162735052101907,0.2585624687741313,0.9241339197140253,False
realistic,momentum,momentum,3D,3D,spearman,design,113,-0.011687078184790457,0.24053012068038904,0.6055007744853249,False
realistic,momentum,momentum,3D,3D,pearson,design,113,-0.00990247146469725,0.24665617855008098,0.6695490499349188,False
realistic,momentum,momentum,3D,7D,spearman,design,113,-0.004982328282966659,0.2336864959652545,0.8207031246520583,False
realistic,momentum,momentum,3D,14D,spearman,design,113,-0.01844434094084769,0.2423866203586436,0.41857386407391495,False
realistic,momentum,momentum,3D,30D,spearman,design,113,-0.030225713946500813,0.24176477528173582,0.1838502076017734,False
realistic,momentum,momentum,3D,1H,spearman,validation,83,-0.02701029682640335,0.23924907688034225,0.3036992853124436,False
realistic,momentum,momentum,3D,4H,spearman,validation,83,-0.03771174925264969,0.23279600352916957,0.13998600446516818,False
realistic,momentum,momentum,3D,12H,spearman,validation,83,-0.0012863484011232885,0.24093194908465015,0.9612053267648657,False
realistic,momentum,momentum,3D,1D,spearman,validation,83,0.005480568892109791,0.219770019103976,0.8202731437063118,False
realistic,momentum,momentum,3D,3D,spearman,validation,83,-0.03524775794908959,0.1964599151028861,0.10214469432064728,False
realistic,momentum,momentum,3D,3D,pearson,validation,83,-0.03428917224986991,0.20993200613835294,0.13673782799012135,False
realistic,momentum,momentum,3D,7D,spearman,validation,83,-0.025950418214210222,0.23977404572671582,0.32412829850178015,False
realistic,momentum,momentum,3D,14D,spearman,validation,83,-0.06878642389105295,0.2137110166702568,0.0033641424874602853,False
realistic,momentum,momentum,3D,30D,spearman,validation,83,-0.0022163843343297996,0.21700845902008514,0.9258653579393439,False
realistic,momentum,momentum,7D,1H,spearman,design,113,0.01072175493392513,0.25139623439611797,0.6502871819902698,False
realistic,momentum,momentum,7D,4H,spearman,design,113,0.018695946007653175,0.23081689688192097,0.3892206627399958,False
realistic,momentum,momentum,7D,12H,spearman,design,113,0.00746983935632939,0.24279228736063352,0.7436292458858211,False
realistic,momentum,momentum,7D,1D,spearman,design,113,0.006911833200909611,0.26642229954337143,0.7827174697626087,False
realistic,momentum,momentum,7D,3D,spearman,design,113,0.011188434386330213,0.278731864633726,0.6695983672319892,False
realistic,momentum,momentum,7D,7D,spearman,design,113,-0.00610838653113784,0.24019931454955545,0.7869065194941784,False
realistic,momentum,momentum,7D,7D,pearson,design,113,-0.008992799335939819,0.2372010183342118,0.6869396714361193,False
realistic,momentum,momentum,7D,14D,spearman,design,113,-0.01902928847365681,0.21347661531559486,0.34334822621392347,False
realistic,momentum,momentum,7D,30D,spearman,design,113,-0.020291423509319895,0.23416007756631652,0.35696267708694174,False
realistic,momentum,momentum,7D,1H,spearman,validation,83,-0.0746233052510795,0.23967450684114608,0.00456026790812509,False
realistic,momentum,momentum,7D,4H,spearman,validation,83,-0.03439925113989794,0.2280523361326461,0.16937609994807934,False
realistic,momentum,momentum,7D,12H,spearman,validation,83,-0.03645861642056949,0.21608883913570162,0.12426468883534074,False
realistic,momentum,momentum,7D,1D,spearman,validation,83,-0.020170909200712624,0.22410350484227154,0.41221393341979395,False
realistic,momentum,momentum,7D,3D,spearman,validation,83,-0.04106954132318749,0.23628190015247416,0.11329893043637698,False
realistic,momentum,momentum,7D,7D,spearman,validation,83,-0.07576169339010176,0.2174091365418014,0.0014996036974184676,False
realistic,momentum,momentum,7D,7D,pearson,validation,83,-0.06863277701631695,0.24581591357315052,0.010969493032882215,False
realistic,momentum,momentum,7D,14D,spearman,validation,83,-0.08075610713530813,0.19142465385555918,0.00012133722895399309,True
realistic,momentum,momentum,7D,30D,spearman,validation,83,-0.011036627713862976,0.19969502710607684,0.6146056787956924,False
realistic,momentum,momentum,14D,1H,spearman,design,113,0.021820689151300945,0.2316556123256167,0.31668107773149834,False
realistic,momentum,momentum,14D,4H,spearman,design,113,0.00465058403426578,0.23503926652489676,0.8334082048795872,False
realistic,momentum,momentum,14D,12H,spearman,design,113,0.008378540051325606,0.23962944158186972,0.7101322623920228,False
realistic,momentum,momentum,14D,1D,spearman,design,113,0.00012192114852461223,0.2533929812868033,0.995919044551787,False
realistic,momentum,momentum,14D,3D,spearman,design,113,0.016035827465592675,0.2638460865913433,0.5182336719134328,False
realistic,momentum,momentum,14D,7D,spearman,design,113,-0.019211256929413584,0.20018625452163039,0.30766098667903774,False
realistic,momentum,momentum,14D,14D,spearman,design,113,-0.027294583413244197,0.2043984538264112,0.15575073645691304,False
realistic,momentum,momentum,14D,14D,pearson,design,113,-0.03289253916295093,0.20378202962802544,0.08619570635962048,False
realistic,momentum,momentum,14D,30D,spearman,design,113,-0.06308848644255094,0.1846910661418549,0.0002821679594016182,True
realistic,momentum,momentum,14D,1H,spearman,validation,83,-0.042186792281909594,0.22768874122541838,0.09141007070602283,False
realistic,momentum,momentum,14D,4H,spearman,validation,83,5.435274934323253e-05,0.24581225151861671,0.9983927005124553,False
realistic,momentum,momentum,14D,12H,spearman,validation,83,-0.029133073647975363,0.23860476971799005,0.2659824396860302,False
realistic,momentum,momentum,14D,1D,spearman,validation,83,-0.02275870398888788,0.2620971856922976,0.42889325878679596,False
realistic,momentum,momentum,14D,3D,spearman,validation,83,-0.08025787359966179,0.25895912255427134,0.004749501933746825,False
realistic,momentum,momentum,14D,7D,spearman,validation,83,-0.08637255790077603,0.2521983226654094,0.0018077148600912927,False
realistic,momentum,momentum,14D,14D,spearman,validation,83,0.014524262463387382,0.23246246945833424,0.5692067281787383,False
realistic,momentum,momentum,14D,14D,pearson,validation,83,-0.012477466352687589,0.22878202532739106,0.6192801009173812,False
realistic,momentum,momentum,14D,30D,spearman,validation,83,-0.02098620044086119,0.23858703952064264,0.4229250230555347,False
realistic,momentum,momentum,30D,1H,spearman,design,113,0.018303012867932456,0.23372850529960668,0.40516367697571365,False
