universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
null,momentum,momentum,1D,4H,spearman,design,113,0.01851146606756349,0.25504572373933343,0.4403831922240272,False
null,momentum,momentum,1D,12H,spearman,design,113,0.015975323524845427,0.2265643978407634,0.45352930007491044,False
null,momentum,momentum,1D,1D,spearman,design,113,0.006201083134697754,0.24894037580526496,0.7911666117721634,False
null,momentum,momentum,1D,1D,pearson,design,113,0.002013875851007427,0.24900639515008535,0.9314879855377501,False
null,momentum,momentum,1D,3D,spearman,design,113,0.006259532224627153,0.24151363997624514,0.7829234348307411,False
null,momentum,momentum,1D,7D,spearman,design,113,0.015507045855137586,0.24556535572523694,0.5020446460478469,False
null,momentum,momentum,1D,14D,spearman,design,113,0.03556581458852754,0.23891474124891351,0.11354767752351344,False
null,momentum,momentum,1D,30D,spearman,design,113,0.001724476469674961,0.2560773579076936,0.9429317467904227,False
null,momentum,momentum,1D,1H,spearman,validation,83,0.020756711054745306,0.24540817724935673,0.44096557391095026,False
null,momentum,momentum,1D,4H,spearman,validation,83,0.006244526980100855,0.2643715669605082,0.8296185065536484,False
null,momentum,momentum,1D,12H,spearman,validation,83,0.008666243923060661,0.2420581628554218,0.7442922101958926,False
null,momentum,momentum,1D,1D,spearman,validation,83,0.011827762176525647,0.22557032972311816,0.6328602881532642,False
null,momentum,momentum,1D,1D,pearson,validation,83,0.018281624625236723,0.24589132232687327,0.4981863914028688,False
null,momentum,momentum,1D,3D,spearman,validation,83,-0.030787812905758365,0.22486372257210702,0.21225849910069483,False
null,momentum,momentum,1D,7D,spearman,validation,83,-0.033073647975360096,0.23371122402651828,0.19730661106145297,False
null,momentum,momentum,1D,14D,spearman,validation,83,-0.024032974001268224,0.25404614696034533,0.3887675932735948,False
null,momentum,momentum,1D,30D,spearman,validation,83,-0.013775402361324997,0.251430242844999,0.6176779671449482,False
null,momentum,momentum,3D,1H,spearman,design,113,0.01598080312702631,0.2361328964442476,0.47188337988624784,False
null,momentum,momentum,3D,4H,spearman,design,113,0.029183447948345615,0.23791696501967055,0.19226140786970802,False
null,momentum,momentum,3D,12H,spearman,design,113,0.0008938601057563182,0.2518700331717101,0.9699067333151365,False
null,momentum,momentum,3D,1D,spearman,design,113,0.002339790131236468,0.23651796566433242,0.9162485783223013,False
null,momentum,momentum,3D,3D,spearman,design,113,0.006615478049626928,0.26850804443879933,0.7933949807077478,False
null,momentum,momentum,3D,3D,pearson,design,113,-0.00969904965494354,0.25378998955716475,0.6845585464535981,False
null,momentum,momentum,3D,7D,spearman,design,113,0.012844644145501696,0.26233340032679964,0.6027260041602085,False
null,momentum,momentum,3D,14D,spearman,design,113,0.05017991360493894,0.22742676471259982,0.019003747816318608,False
null,momentum,momentum,3D,30D,spearman,design,113,-0.015676456889229844,0.2512232634771025,0.5071215330850065,False
null,momentum,momentum,3D,1H,spearman,validation,83,0.008010991333756073,0.2415758044745836,0.7625646180660817,False
null,momentum,momentum,3D,4H,spearman,validation,83,0.02376422985173778,0.23741915698665386,0.3618215647580242,False
null,momentum,momentum,3D,12H,spearman,validation,83,-0.02531328320802006,0.24539247558505245,0.3473303264030141,False
null,momentum,momentum,3D,1D,spearman,validation,83,-0.016770842769574537,0.26131948969864693,0.5587593789930256,False
null,momentum,momentum,3D,3D,spearman,validation,83,-0.052121267022979145,0.2632574234073184,0.07127243535906139,False
null,momentum,momentum,3D,3D,pearson,validation,83,-0.02608898260534372,0.27087103444732985,0.3802299302470913,False
null,momentum,momentum,3D,7D,spearman,validation,83,-0.041332246278346474,0.2640903875056437,0.15391010825994192,False
null,momentum,momentum,3D,14D,spearman,validation,83,-0.015251985385149618,0.2655244455801399,0.6007569651800693,False
null,momentum,momentum,3D,30D,spearman,validation,83,-0.025627321315336526,0.2937718472201351,0.42675729120265127,False
null,momentum,momentum,7D,1H,spearman,design,113,-0.011511730915002244,0.21518395622178474,0.56957153769743,False
null,momentum,momentum,7D,4H,spearman,design,113,0.014463181639679632,0.24036524129687636,0.5224107108176934,False
null,momentum,momentum,7D,12H,spearman,design,113,-0.012553083646127292,0.22795362454512938,0.5582874655771363,False
null,momentum,momentum,7D,1D,spearman,design,113,-0.0029372950857101095,0.21840514878144915,0.8863193311987596,False
null,momentum,momentum,7D,3D,spearman,design,113,-0.006784889083719192,0.24328200253834847,0.7668757410181593,False
null,momentum,momentum,7D,7D,spearman,design,113,0.006815026895714039,0.22930822534302536,0.7520576862483864,False
null,momentum,momentum,7D,7D,pearson,design,113,-0.002731078754302859,0.2315623512125853,0.9002279248041081,False
null,momentum,momentum,7D,14D,spearman,design,113,0.0431584883604117,0.23499304489153555,0.05090052587056962,False
null,momentum,momentum,7D,30D,spearman,design,113,-0.04559713964766158,0.23551854062774719,0.03958724514985613,False
null,momentum,momentum,7D,1H,spearman,validation,83,0.02268925325361598,0.24360842302331526,0.39614314758339586,False
null,momentum,momentum,7D,4H,spearman,validation,83,0.02167164900202313,0.23592341105321107,0.40266351529441846,False
null,momentum,momentum,7D,12H,spearman,validation,83,0.011610351179152698,0.23993335957247253,0.6593194457091578,False
null,momentum,momentum,7D,1D,spearman,validation,83,-0.031920161850409155,0.25967321189175707,0.2627588658116551,False
null,momentum,momentum,7D,3D,spearman,validation,83,-0.06167829211583174,0.26374503505694413,0.03312810873942543,False
null,momentum,momentum,7D,7D,spearman,validation,83,-0.013253012048192769,0.2769236914441672,0.6628316035007014,False
null,momentum,momentum,7D,7D,pearson,validation,83,-0.019156921328736146,0.25548416812946634,0.4945272732281024,False
null,momentum,momentum,7D,14D,spearman,validation,83,-0.00984388682549747,0.27343186191798324,0.7429215444961976,False
null,momentum,momentum,7D,30D,spearman,validation,83,-0.03633481293595434,0.29779300490952404,0.26631133446448607,False
null,momentum,momentum,14D,1H,spearman,design,113,-0.02238440322565915,0.23574552762362663,0.312807374216154,False
null,momentum,momentum,14D,4H,spearman,design,113,0.005305168178123601,0.21371483472411387,0.7918736827549873,False
null,momentum,momentum,14D,12H,spearman,design,113,-0.018771518854397845,0.22977498973389454,0.3851578148607815,False
null,momentum,momentum,14D,1D,spearman,design,113,0.006828725901166241,0.22737819733032588,0.7495374028880206,False
null,momentum,momentum,14D,3D,spearman,design,113,-0.006185785911942795,0.24264035141822413,0.7863901733242021,False
null,momentum,momentum,14D,7D,spearman,design,113,-0.007738568179950142,0.24291015931050258,0.7348716040383529,False
null,momentum,momentum,14D,14D,spearman,design,113,-0.019903285021507445,0.24394687622974975,0.38577833891579105,False
null,momentum,momentum,14D,14D,pearson,design,113,-0.0012043965667173238,0.23893261484747438,0.9572667847925159,False
null,momentum,momentum,14D,30D,spearman,design,113,-0.08508771929824563,0.25724662161718276,0.0004380000223281364,True
null,momentum,momentum,14D,1H,spearman,validation,83,0.03067608780988616,0.2293896979648169,0.22309841237791672,False
null,momentum,momentum,14D,4H,spearman,validation,83,0.03271431591025757,0.22543698957008954,0.18614761713433536,False
null,momentum,momentum,14D,12H,spearman,validation,83,0.011728115469396385,0.2150771591027101,0.6193370326246777,False
null,momentum,momentum,14D,1D,spearman,validation,83,-0.01658664734124468,0.24115908487812207,0.5309180254579706,False
null,momentum,momentum,14D,3D,spearman,validation,83,-0.003723163330011772,0.26148357924408105,0.8967880120432469,False
null,momentum,momentum,14D,7D,spearman,validation,83,0.004369357127759153,0.2712402333216219,0.8833228513163314,False
null,momentum,momentum,14D,14D,spearman,validation,83,-0.04296584835582933,0.3132700093625859,0.21147451658266514,False
null,momentum,momentum,14D,14D,pearson,validation,83,-0.08557542067001392,0.3079666889628131,0.011356371105591555,False
null,momentum,momentum,14D,30D,spearman,validation,83,-0.025956457408581695,0.26195797974386925,0.36667477497432954,False
null,momentum,momentum,30D,1H,spearman,design,113,-0.0222510662392577,0.27192681099888577,0.3843893332119753,False
null,momentum,momentum,30D,4H,spearman,design,113,-0.014905431199028284,0.23335537093277098,0.49714163564280556,False
null,momentum,momentum,30D,12H,spearman,design,113,-0.02887522032567103,0.2587956893469429,0.23559770970190907,False
null,momentum,momentum,30D,1D,spearman,design,113,-0.03135907833091317,0.23986486553391967,0.16460559323068058,False
null,momentum,momentum,30D,3D,spearman,design,113,-0.05356379626839093,0.23344764547356828,0.014725845931408648,False
null,momentum,momentum,30D,7D,spearman,design,113,-0.06697032795419053,0.25942354096655107,0.006066265092221571,False
null,momentum,momentum,30D,14D,spearman,design,113,-0.06774318017845239,0.2303081424004071,0.00176739980565073,True
null,momentum,momentum,30D,30D,spearman,design,113,-0.08809830406312502,0.2478861811714519,0.00015813429481264184,True
null,momentum,momentum,30D,30D,pearson,design,113,-0.024649138874861948,0.243446368627366,0.28178830839061975,False
null,momentum,momentum,30D,1H,spearman,validation,83,0.01979043995530996,0.23465583421539446,0.4422750284874106,False
null,momentum,momentum,30D,4H,spearman,validation,83,0.014587674004287827,0.21048198121636638,0.5277736986521807,False
null,momentum,momentum,30D,12H,spearman,validation,83,0.01193646767521213,0.20459313237632173,0.5950549160540404,False
null,momentum,momentum,30D,1D,spearman,validation,83,-0.022326901591327716,0.24515127860765934,0.4066951845607809,False
null,momentum,momentum,30D,3D,spearman,validation,83,-0.05027025394812332,0.2413942818342022,0.057795765766292265,False
null,momentum,momentum,30D,7D,spearman,validation,83,-0.08559048222967054,0.2204211134037663,0.000403748839586337,True
null,momentum,momentum,30D,14D,spearman,validation,83,-0.0923634387172751,0.22856381533207143,0.00023181291624169248,True
null,momentum,momentum,30D,30D,spearman,validation,83,0.0035752030679107455,0.20451180289675966,0.8734597950216305,False
null,momentum,momentum,30D,30D,pearson,validation,83,-0.019590577327380492,0.1956685281895393,0.361690821665278,False
null,relative_strength,relative_strength,1H,1H,spearman,design,113,-0.025526955076394783,0.2314022629916762,0.2409337784231852,False
null,relative_strength,relative_strength,1H,1H,pearson,design,113,-0.01223834699447311,0.23971721377679628,0.5873338430075137,False
null,relative_strength,relative_strength,1H,4H,spearman,design,113,-0.007507054987807881,0.26029173354121404,0.7591605942989466,False
null,relative_strength,relative_strength,1H,12H,spearman,design,113,-0.004285277222206999,0.21422058135789057,0.8316031911272881,False
null,relative_strength,relative_strength,1H,1D,spearman,design,113,0.014881457939486928,0.24007329825448617,0.5099391972000613,False
null,relative_strength,relative_strength,1H,3D,spearman,design,113,-0.012349196781646988,0.27460244177695403,0.6326144492298433,False
null,relative_strength,relative_strength,1H,7D,spearman,design,113,-0.036646209485191386,0.23636502898033612,0.09933098392024864,False
null,relative_strength,relative_strength,1H,14D,spearman,design,113,-0.027810579285277224,0.22774161436224485,0.19425429691392881,False
null,relative_strength,relative_strength,1H,30D,spearman,design,113,-0.030718878142780164,0.22448910308987635,0.14577471962574184,False
null,relative_strength,relative_strength,1H,1H,spearman,validation,83,0.0022797958752302453,0.23736884963043675,0.9302735679089353,False
null,relative_strength,relative_strength,1H,1H,pearson,validation,83,0.0038254423556799005,0.24094822561528403,0.8849928621272829,False
null,relative_strength,relative_strength,1H,4H,spearman,validation,83,0.006464957574659546,0.22683729432506286,0.7951328694584192,False
null,relative_strength,relative_strength,1H,12H,spearman,validation,83,0.0025304224416462864,0.22543874044186749,0.9185507267417083,False
null,relative_strength,relative_strength,1H,1D,spearman,validation,83,-0.002611951565661134,0.23591892308639864,0.9196574621977277,False
null,relative_strength,relative_strength,1H,3D,spearman,validation,83,-0.010949059395476643,0.27874596163825366,0.7204517148219588,False
null,relative_strength,relative_strength,1H,7D,spearman,validation,83,-0.020065223299211888,0.24413284430882826,0.45398711738625275,False
null,relative_strength,relative_strength,1H,14D,spearman,validation,83,-0.010348159555515293,0.2426150334854035,0.697584209121558,False
null,relative_strength,relative_strength,1H,30D,spearman,validation,83,-0.020095419271069236,0.2483859503465171,0.46107941430513777,False
null,relative_strength,relative_strength,4H,1H,spearman,design,113,-0.03773162735052102,0.2371138966963348,0.09072964321946134,False
null,relative_strength,relative_strength,4H,4H,spearman,design,113,-0.005745362886654424,0.23682530973571586,0.7964945203115938,False
null,relative_strength,relative_strength,4H,4H,pearson,design,113,-0.0021907178272096055,0.2275667219087391,0.9184921373178558,False
null,relative_strength,relative_strength,4H,12H,spearman,design,113,0.013026612601258482,0.22201605622738455,0.5328146315925413,False
null,relative_strength,relative_strength,4H,1D,spearman,design,113,0.033982437875010284,0.23578419711275686,0.12550476963248652,False
null,relative_strength,relative_strength,4H,3D,spearman,design,113,0.0030676639542635883,0.2516489998926565,0.896895464755458,False
null,relative_strength,relative_strength,4H,7D,spearman,design,113,-0.011542097043754628,0.2577183334033755,0.6340184066024566,False
null,relative_strength,relative_strength,4H,14D,spearman,design,113,0.01345493483839739,0.25216253917437725,0.5705747330608664,False
null,relative_strength,relative_strength,4H,30D,spearman,design,113,0.013056522096495791,0.23838390842528748,0.560416089236915,False
null,relative_strength,relative_strength,4H,1H,spearman,validation,83,-0.005226922728508017,0.2255212589236062,0.8327677392364512,False
null,relative_strength,relative_strength,4H,4H,spearman,validation,83,0.027306217350605424,0.23412178547431273,0.2879756531627701,False
null,relative_strength,relative_strength,4H,4H,pearson,validation,83,0.041106517282041836,0.22829814859854142,0.10092392538705487,False
null,relative_strength,relative_strength,4H,12H,spearman,validation,83,0.022335960382884917,0.2377424052406344,0.39203783402396164,False
null,relative_strength,relative_strength,4H,1D,spearman,validation,83,0.02054835884892955,0.22459875797123435,0.40455929967292636,False
null,relative_strength,relative_strength,4H,3D,spearman,validation,83,0.01279403327596098,0.26206307151086916,0.6564821208354404,False
null,relative_strength,relative_strength,4H,7D,spearman,validation,83,0.0024398345260742186,0.2177126476717167,0.9186791637763958,False
null,relative_strength,relative_strength,4H,14D,spearman,validation,83,-0.0034332820001811712,0.2394551481915795,0.8960724312354222,False
null,relative_strength,relative_strength,4H,30D,spearman,validation,83,-0.0348401123290153,0.2594181761732481,0.2211257854503822,False
null,relative_strength,relative_strength,12H,1H,spearman,design,113,-0.005332566189028011,0.24172893482198662,0.814595160367428,False
null,relative_strength,relative_strength,12H,4H,spearman,design,113,-0.010912399426468305,0.252783980782989,0.6463121484810679,False
null,relative_strength,relative_strength,12H,12H,spearman,design,113,-0.03867023754075454,0.2417450006162256,0.08905021882882787,False
null,relative_strength,relative_strength,12H,12H,pearson,design,113,-0.0321491446324583,0.23645639703313703,0.14837403617748393,False
null,relative_strength,relative_strength,12H,1D,spearman,design,113,-0.022987387782313677,0.2435894588235174,0.31578350578364756,False
null,relative_strength,relative_strength,12H,3D,spearman,design,113,-0.019082029644647808,0.24971196871673043,0.4166109523506708,False
null,relative_strength,relative_strength,12H,7D,spearman,design,113,-0.023291734020110144,0.23591080500807254,0.29393608486400313,False
null,relative_strength,relative_strength,12H,14D,spearman,design,113,0.02499543366484927,0.2229256956632083,0.23330051475316826,False
null,relative_strength,relative_strength,12H,30D,spearman,design,113,-0.010937285953039812,0.222604359225863,0.6014655733053642,False
